# UTC Date    TIME   JUL    SEC
# YY  MM  DD  TIME   Day    Day       P>1          P>5          P>10         P>30         P>50        P>100
#===============================================================================================================
2024  02  09  1435  60349  52500  7.07801e+00  8.31006e-01  7.27006e-01  4.14006e-01  2.86006e-01  1.94006e-01
2024  02  09  1440  60349  52800  8.35734e+00  1.60634e+00  1.53934e+00  7.36340e-01  4.61340e-01  2.84340e-01
2024  02  09  1445  60349  53100  8.86201e+00  1.72701e+00  1.68401e+00  7.91007e-01  4.76007e-01  2.40007e-01
2024  02  09  1450  60349  53400  8.97401e+00  1.64601e+00  1.55701e+00  8.83007e-01  5.00007e-01  2.30007e-01
2024  02  09  1455  60349  53700  9.30401e+00  2.02101e+00  1.94901e+00  9.89006e-01  5.41006e-01  2.43006e-01
2024  02  09  1500  60349  54000  1.08167e+01  3.11167e+00  2.99567e+00  1.10067e+00  5.26673e-01  2.23673e-01
2024  02  09  1505  60349  54300  1.03673e+01  3.38934e+00  3.24434e+00  1.41634e+00  7.30342e-01  2.94342e-01
2024  02  09  1510  60349  54600  1.37147e+01  5.73267e+00  5.55067e+00  2.01167e+00  8.49674e-01  2.89674e-01
2024  02  09  1515  60349  54900  1.62887e+01  7.87667e+00  7.30967e+00  2.29367e+00  8.75674e-01  2.60674e-01
2024  02  09  1520  60349  55200  1.78927e+01  8.78067e+00  8.44467e+00  2.36067e+00  8.73673e-01  2.93673e-01
2024  02  09  1525  60349  55500  1.87937e+01  1.07377e+01  9.92367e+00  2.57767e+00  8.93674e-01  2.86674e-01
2024  02  09  1530  60349  55800  2.25593e+01  1.32343e+01  1.23813e+01  3.05334e+00  9.90341e-01  3.40341e-01
2024  02  09  1535  60349  56100  2.81213e+01  1.74153e+01  1.61463e+01  3.93834e+00  1.18634e+00  3.22341e-01
2024  02  09  1540  60349  56400  3.21693e+01  2.18753e+01  1.99713e+01  4.43434e+00  1.34234e+00  3.44340e-01
2024  02  09  1545  60349  56700  3.39620e+01  2.39470e+01  2.14220e+01  4.82501e+00  1.29601e+00  3.27008e-01
2024  02  09  1550  60349  57000  3.61677e+01  2.55657e+01  2.28007e+01  5.15168e+00  1.56068e+00  3.51676e-01
2024  02  09  1555  60349  57300  3.90137e+01  2.78907e+01  2.46837e+01  5.42668e+00  1.59668e+00  3.74676e-01
2024  02  09  1600  60349  57600  4.01997e+01  2.91007e+01  2.60027e+01  5.85067e+00  1.71567e+00  3.25674e-01
2024  02  09  1605  60349  57900  4.56373e+01  3.35183e+01  2.91863e+01  6.18634e+00  1.68934e+00  3.44341e-01
2024  02  09  1610  60349  58200  4.73780e+01  3.60100e+01  3.13580e+01  6.79201e+00  1.89201e+00  3.53010e-01
2024  02  09  1615  60349  58500  5.30710e+01  4.02610e+01  3.44410e+01  7.19101e+00  2.07401e+00  3.90010e-01
2024  02  09  1620  60349  58800  5.28443e+01  3.98783e+01  3.41103e+01  6.87234e+00  1.99834e+00  3.63340e-01
2024  02  09  1625  60349  59100  5.77587e+01  4.45607e+01  3.84257e+01  7.70068e+00  2.00868e+00  3.83676e-01
2024  02  09  1630  60349  59400  6.12180e+01  4.76070e+01  4.08720e+01  8.40501e+00  2.15701e+00  3.44009e-01
2024  02  09  1635  60349  59700  6.55923e+01  5.06663e+01  4.31173e+01  8.01534e+00  1.94934e+00  4.72342e-01
2024  02  09  1640  60349  60000  7.28987e+01  5.76467e+01  4.84727e+01  9.01768e+00  2.20968e+00  4.40677e-01
2024  02  09  1645  60349  60300  7.56530e+01  6.14030e+01  5.10550e+01  8.97501e+00  1.95101e+00  3.81010e-01
2024  02  09  1650  60349  60600  8.53017e+01  6.86287e+01  5.73417e+01  1.00177e+01  2.25768e+00  4.30676e-01
2024  02  09  1655  60349  60900  9.04077e+01  7.23187e+01  5.99287e+01  1.00427e+01  2.01868e+00  3.54676e-01
2024  02  09  1700  60349  61200  9.51887e+01  7.92727e+01  6.44597e+01  1.03587e+01  2.29168e+00  4.18677e-01
2024  02  09  1705  60349  61500  9.42203e+01  7.67913e+01  6.32023e+01  1.11823e+01  2.40334e+00  3.96344e-01
2024  02  09  1710  60349  61800  9.74953e+01  7.91093e+01  6.41103e+01  1.09433e+01  2.45134e+00  4.11343e-01
2024  02  09  1715  60349  62100  9.74267e+01  7.98907e+01  6.45767e+01  1.11927e+01  2.40668e+00  4.41676e-01
2024  02  09  1720  60349  62400  1.05162e+02  8.58167e+01  6.84647e+01  1.10207e+01  2.33868e+00  4.62678e-01
